open_time,close_time,symbol,direction,volume,open_price,close_price,open_deal,close_deal,commission,swap,profit,net_profit,close_balance,close_comment,holding_minutes,open_bar_m5,close_bar_m5,period,context,run,variant,scenario,strategy_mode,signal_mode,sl_mode,reward_r,trade_index,month,hour,fx_vs_xauusd,regime,session,entry_selection_mode,v4_signal_mode,thirdwave_sl_mode,reversal_signal_type,wave_audit_label,lower_tf_reversal_sl_status,structure_stage_fail_reason,execution_block_reason,sl_atr,risk_r,rr,spread_atr,entry_price,sl,tp,result_R,sl_points,tp_points,tp_atr,risk_amount
2026.01.05 06:10:00,2026.01.05 08:12:12,XAUUSD,LONG,0.04,4400.56,4419.11,2,3,0.0,0.0,74.2,74.2,10074.2,tp 4419.09,122.2,2026.01.05 06:10:00,2026.01.05 08:10:00,2026-Q1,2026YTD sample,B,v4_micro_or_candle_current_sl_1_5R,v4_micro_or_candle_current_sl_1_5R,v4,V4_SIGNAL_MICRO_OR_CANDLE,THIRD_WAVE_SL_CURRENT,1.5,1,2026-01,06,XAUUSD,REGIME_TREND_UP,server_00_07,all_score_passing,V4_SIGNAL_MICRO_OR_CANDLE,THIRD_WAVE_SL_CURRENT,candle_reversal,chasing_entry,sl_too_tight,,,2.68,12.35,1.50,0.0434,4400.56,4388.21,4419.09,1.502,1235.0,1852.5,4.02,49.4
2026.01.05 16:05:00,2026.01.05 16:55:01,XAUUSD,LONG,0.04,4422.69,4441.08,4,5,0.0,0.0,73.56,73.56,10147.76,tp 4441.04,50.02,2026.01.05 16:05:00,2026.01.05 16:55:00,2026-Q1,2026YTD sample,B,v4_micro_or_candle_current_sl_1_5R,v4_micro_or_candle_current_sl_1_5R,v4,V4_SIGNAL_MICRO_OR_CANDLE,THIRD_WAVE_SL_CURRENT,1.5,2,2026-01,16,XAUUSD,REGIME_TREND_UP,server_16_23,all_score_passing,V4_SIGNAL_MICRO_OR_CANDLE,THIRD_WAVE_SL_CURRENT,micro_break,chasing_entry,sl_too_wide,,,1.85,12.23,1.50,0.0288,4422.69,4410.46,4441.04,1.5037,1223.0,1834.5,2.775,48.92
2026.01.05 20:20:00,2026.01.06 02:40:29,XAUUSD,LONG,0.03,4445.21,4431.78,6,7,0.0,-2.5,-40.29,-42.79,10104.97,sl 4431.81,380.48,2026.01.05 20:20:00,2026.01.06 02:40:00,2026-Q1,2026YTD sample,B,v4_micro_or_candle_current_sl_1_5R,v4_micro_or_candle_current_sl_1_5R,v4,V4_SIGNAL_MICRO_OR_CANDLE,THIRD_WAVE_SL_CURRENT,1.5,3,2026-01,20,XAUUSD,REGIME_TREND_UP,server_16_23,all_score_passing,V4_SIGNAL_MICRO_OR_CANDLE,THIRD_WAVE_SL_CURRENT,micro_break,chasing_entry,valid,,,3.0,13.4,1.50,0.0448,4445.21,4431.81,4465.31,-1.0022,1340.0,2010.0,4.5,42.7
2026.01.08 11:10:00,2026.01.08 14:00:06,XAUUSD,SHORT,0.07,4432.91,4422.1,8,9,0.0,0.0,75.67,75.67,10180.64,tp 4422.14,170.1,2026.01.08 11:10:00,2026.01.08 14:00:00,2026-Q1,2026YTD sample,B,v4_micro_or_candle_current_sl_1_5R,v4_micro_or_candle_current_sl_1_5R,v4,V4_SIGNAL_MICRO_OR_CANDLE,THIRD_WAVE_SL_CURRENT,1.5,4,2026-01,11,XAUUSD,REGIME_TREND_DOWN,server_08_15,all_score_passing,V4_SIGNAL_MICRO_OR_CANDLE,THIRD_WAVE_SL_CURRENT,candle_reversal,chasing_entry,sl_too_tight,,,1.44,7.18,1.50,0.0400,4432.91,4440.09,4422.14,1.5056,718.0,1077.0,2.16,50.26
2026.01.12 06:00:00,2026.01.12 09:15:35,XAUUSD,LONG,0.05,4570.8,4585.12,10,11,0.0,0.0,71.6,71.6,10252.24,tp 4585.10,195.58,2026.01.12 06:00:00,2026.01.12 09:15:00,2026-Q1,2026YTD sample,B,v4_micro_or_candle_current_sl_1_5R,v4_micro_or_candle_current_sl_1_5R,v4,V4_SIGNAL_MICRO_OR_CANDLE,THIRD_WAVE_SL_CURRENT,1.5,5,2026-01,06,XAUUSD,REGIME_TREND_UP,server_00_07,all_score_passing,V4_SIGNAL_MICRO_OR_CANDLE,THIRD_WAVE_SL_CURRENT,candle_reversal,chasing_entry,sl_too_tight,,,2.31,9.53,1.50,0.0461,4570.80,4561.27,4585.10,1.5026,953.0,1429.5,3.465,47.65
2026.01.12 09:45:00,2026.01.12 15:12:29,XAUUSD,LONG,0.03,4583.98,4605.8,12,13,0.0,0.0,65.46,65.46,10317.7,tp 4605.75,327.48,2026.01.12 09:45:00,2026.01.12 15:10:00,2026-Q1,2026YTD sample,B,v4_micro_or_candle_current_sl_1_5R,v4_micro_or_candle_current_sl_1_5R,v4,V4_SIGNAL_MICRO_OR_CANDLE,THIRD_WAVE_SL_CURRENT,1.5,6,2026-01,09,XAUUSD,REGIME_TREND_UP,server_08_15,all_score_passing,V4_SIGNAL_MICRO_OR_CANDLE,THIRD_WAVE_SL_CURRENT,candle_reversal,chasing_entry,valid,,,3.6,14.51,1.50,0.0496,4583.98,4569.47,4605.75,1.5038,1451.0,2176.5,5.4,43.53
2026.01.13 19:25:00,2026.01.13 19:58:10,XAUUSD,LONG,0.02,4612.47,4592.2,14,15,0.0,0.0,-40.54,-40.54,10277.16,sl 4592.42,33.17,2026.01.13 19:25:00,2026.01.13 19:55:00,2026-Q1,2026YTD sample,B,v4_micro_or_candle_current_sl_1_5R,v4_micro_or_candle_current_sl_1_5R,v4,V4_SIGNAL_MICRO_OR_CANDLE,THIRD_WAVE_SL_CURRENT,1.5,7,2026-01,19,XAUUSD,REGIME_TREND_UP,server_16_23,all_score_passing,V4_SIGNAL_MICRO_OR_CANDLE,THIRD_WAVE_SL_CURRENT,candle_reversal,chasing_entry,valid,,,3.55,20.05,1.50,0.0336,4612.47,4592.42,4642.55,-1.011,2005.0,3007.5,5.325,40.1
2026.01.16 10:20:00,2026.01.16 11:32:41,XAUUSD,SHORT,0.1,4607.37,4599.6,16,17,0.0,0.0,77.7,77.7,10354.86,tp 4599.71,72.68,2026.01.16 10:20:00,2026.01.16 11:30:00,2026-Q1,2026YTD sample,B,v4_micro_or_candle_current_sl_1_5R,v4_micro_or_candle_current_sl_1_5R,v4,V4_SIGNAL_MICRO_OR_CANDLE,THIRD_WAVE_SL_CURRENT,1.5,8,2026-01,10,XAUUSD,REGIME_TREND_DOWN,server_08_15,all_score_passing,V4_SIGNAL_MICRO_OR_CANDLE,THIRD_WAVE_SL_CURRENT,micro_break,unclear,valid,,,1.17,5.11,1.50,0.0458,4607.37,4612.48,4599.71,1.5205,511.0,766.5,1.755,51.1
2026.01.19 08:05:00,2026.01.20 06:35:17,XAUUSD,LONG,0.04,4670.1,4688.43,18,19,0.0,-3.34,73.32,69.97999999999999,10424.84,tp 4688.39,1350.28,2026.01.19 08:05:00,2026.01.20 06:35:00,2026-Q1,2026YTD sample,B,v4_micro_or_candle_current_sl_1_5R,v4_micro_or_candle_current_sl_1_5R,v4,V4_SIGNAL_MICRO_OR_CANDLE,THIRD_WAVE_SL_CURRENT,1.5,9,2026-01,08,XAUUSD,REGIME_TREND_UP,server_08_15,all_score_passing,V4_SIGNAL_MICRO_OR_CANDLE,THIRD_WAVE_SL_CURRENT,candle_reversal,chasing_entry,valid,,,3.21,12.19,1.50,0.0552,4670.10,4657.91,4688.39,1.5037,1219.0,1828.5,4.815,46.54
2026.01.20 15:40:00,2026.01.20 21:06:16,GBPUSD,LONG,0.33,1.3453,1.34371,20,21,0.0,0.0,-52.47,-52.47,10372.37,sl 1.34373,326.27,2026.01.20 15:40:00,2026.01.20 21:05:00,2026-Q1,2026YTD sample,B,v4_micro_or_candle_current_sl_1_5R,v4_micro_or_candle_current_sl_1_5R,v4,V4_SIGNAL_MICRO_OR_CANDLE,THIRD_WAVE_SL_CURRENT,1.5,10,2026-01,15,FX,REGIME_TREND_UP,server_08_15,all_score_passing,V4_SIGNAL_MICRO_OR_CANDLE,THIRD_WAVE_SL_CURRENT,micro_break,third_wave_middle,valid,,,1.72,0.00157,1.50,0.1644,1.34530,1.34373,1.34766,-1.0127,157.0,235.5,2.58,51.81
